location,Category,Indicator,year,value
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1994,20.3
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1994,15.4
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1994,58.4
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1994,
Bangladesh,LRI,Children with symptoms of ARI taken to a health facility,1994,27.8
Bangladesh,LRI,Children with symptoms of ARI who received antibiotics,1994,
Bangladesh,Malaria,Children with fever in the last two weeks,1994,
Bangladesh,Malaria,Advice or treatment for fever sought from a health facility or provider,1994,
Bangladesh,Malaria,Child took antimalarial drugs for fever,1994,
Bangladesh,Malaria,Child took antibiotic drugs for fever,1994,
Bangladesh,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1994,46
Bangladesh,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1994,26.7
Bangladesh,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1994,40.7
Bangladesh,Vaccine preventable disease,BCG vaccination received,1994,85.4
Bangladesh,Measeles,Measles vaccination received,1994,68.8
Bangladesh,DPT,Received all 8 basic vaccinations,1994,58.9
Bangladesh,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1994,
Bangladesh,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1994,
Bangladesh,Neonatal disorders,Antenatal care provider: Community health worker,1994,
Bangladesh,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1994,5.6
Bangladesh,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1994,
Bangladesh,DPT,Tetanus protection at birth,1994,
Bangladesh,Neonatal disorders,Assistance during delivery from a skilled provider,1994,9.2
Bangladesh,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1994,
Bangladesh,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1994,
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1997,25.5
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1997,30.2
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1997,62.2
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1997,
Bangladesh,LRI,Children with symptoms of ARI taken to a health facility,1997,35.6
Bangladesh,LRI,Children with symptoms of ARI who received antibiotics,1997,
Bangladesh,Malaria,Children with fever in the last two weeks,1997,31
Bangladesh,Malaria,Advice or treatment for fever sought from a health facility or provider,1997,21
Bangladesh,Malaria,Child took antimalarial drugs for fever,1997,
Bangladesh,Malaria,Child took antibiotic drugs for fever,1997,
Bangladesh,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1997,45.2
Bangladesh,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1997,25.4
Bangladesh,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1997,46.7
Bangladesh,Vaccine preventable disease,BCG vaccination received,1997,86.3
Bangladesh,Measeles,Measles vaccination received,1997,70.1
Bangladesh,DPT,Received all 8 basic vaccinations,1997,54.2
Bangladesh,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1997,
Bangladesh,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1997,
Bangladesh,Neonatal disorders,Antenatal care provider: Community health worker,1997,
Bangladesh,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1997,6.8
Bangladesh,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1997,
Bangladesh,DPT,Tetanus protection at birth,1997,
Bangladesh,Neonatal disorders,Assistance during delivery from a skilled provider,1997,8.1
Bangladesh,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1997,
Bangladesh,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1997,
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2000,27.1
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2000,22.6
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2000,72.4
Bangladesh,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2000,
Bangladesh,LRI,Children with symptoms of ARI taken to a health facility,2000,28.3
Bangladesh,LRI,Children with symptoms of ARI who received antibiotics,2000,
Bangladesh,Malaria,Children with fever in the last two weeks,2000,37.2
Bangladesh,Malaria,Advice or treatment for fever sought from a health facility or provider,2000,24.9
Bangladesh,Malaria,Child took antimalarial drugs for fever,2000,
Bangladesh,Malaria,Child took antibiotic drugs for fever,2000,
Bangladesh,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2000,46.7
Bangladesh,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2000,57.1
Bangladesh,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2000,68.8
Bangladesh,Vaccine preventable disease,BCG vaccination received,2000,91
Bangladesh,Measeles,Measles vaccination received,2000,70.8
Bangladesh,DPT,Received all 8 basic vaccinations,2000,60.4
Bangladesh,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2000,
Bangladesh,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2000,
Bangladesh,Neonatal disorders,Antenatal care provider: Community health worker,2000,2.4
Bangladesh,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2000,10.7
Bangladesh,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2000,
Bangladesh,DPT,Tetanus protection at birth,2000,
Bangladesh,Neonatal disorders,Assistance during delivery from a skilled provider,2000,12.2
